storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5,prompt,generated_conclusion
f205679f-a512-4c69-8c70-4c5d081bc162,Josh's Bird,Josh had a parrot that talked.,He brought his parrot to school.,"During show and tell, Josh's parrot said a bad word.",The teacher told Joshua not to bring his bird again.,"When Josh got home, he was grounded.","Write a concluding sentence for the following story: 'Josh had a parrot that talked. He brought his parrot to school. During show and tell, Josh's parrot said a bad word. The teacher told Joshua not to bring his bird again.","Despite the hiccup during show and tell, Josh still treasured his talking parrot and continued to enjoy its company at home."
e88711d0-3e7e-4b6f-a36e-d4dce15969f4,Leash,Hal was walking his dog one morning.,A cat ran across their path.,"Hal's dog strained so hard, the leash broke!",He chased the cat for several minutes.,Finally Hal lured him back to his side.,"Write a concluding sentence for the following story: 'Hal was walking his dog one morning. A cat ran across their path. Hal's dog strained so hard, the leash broke! He chased the cat for several minutes.","After a few tense moments, Hal was able to catch his dog and reattach the leash, relieved that the unexpected chase had come to an end."
2ba826c3-4b57-42fa-9784-8fc5c8f954ac,She Is The Saddest Girl,Brenda was in love with her boyfriend Maxwell.,He was a successful artist with a promising future.,Maxwell told Brenda he needed to talk to her.,She thought he'd propose but he wanted to break up.,Brenda walked away and now she is the saddest girl out of everyone.,Write a concluding sentence for the following story: 'Brenda was in love with her boyfriend Maxwell. He was a successful artist with a promising future. Maxwell told Brenda he needed to talk to her. She thought he'd propose but he wanted to break up.,"Despite Maxwell's decision to end their relationship, Brenda knew that she would always cherish the memories they had shared together."
19d9e1e4-6d82-44c8-9c74-3a5e866b2e6d,Being Creative,Yanice opened the fridge and found nothing to eat.,"However, there were leftovers.",She mixed it up in an attempt to make lunch.,"Since the place needed meat, she also fried and eggs.",She ended up enjoying the meal.,"Write a concluding sentence for the following story: 'Yanice opened the fridge and found nothing to eat. However, there were leftovers. She mixed it up in an attempt to make lunch. Since the place needed meat, she also fried and eggs.","In the end, Yanice was able to create a satisfying meal out of the leftovers and eggs she found, making the most of what she had in the fridge."
e95f0861-813b-4801-b2a5-74733aef86db,Company,I saw my friend Joe sitting in lobby today.,"I kept him company, as he is a lonely old man.",He told me he had just listened to Beethoven's Ninth.,I talked to him for an hour.,I left him in the lobby and told him I would see him soon.,"Write a concluding sentence for the following story: 'I saw my friend Joe sitting in lobby today. I kept him company, as he is a lonely old man. He told me he had just listened to Beethoven's Ninth. I talked to him for an hour.","As I left the lobby, I felt grateful for the opportunity to spend time with my friend Joe and share in his love of music."
a15c9a13-e251-4461-b74d-e6549c6633a7,Chat,Twas the night after the first day of junior high.,Amy and her friend Beth were on the phone.,They had a lot to catch up on.,Amy listened patiently as Beth told her about her day.,She wanted to go 2nd because she knew hers was the better day.,Write a concluding sentence for the following story: 'Twas the night after the first day of junior high. Amy and her friend Beth were on the phone. They had a lot to catch up on. Amy listened patiently as Beth told her about her day.,"As they said their goodbyes and hung up the phone, Amy felt grateful to have such a supportive friend by her side during this important transition in her life."
a09017e9-0d29-46d6-8078-4ba2853d361c,Lottery Winner,I knew of a young man who won the lottery.,He used to ride lawn mowers.,"After he won, he went on to using drugs.",He blew a lot of money.,Eventually his winnings were revoked after a dui.,"Write a concluding sentence for the following story: 'I knew of a young man who won the lottery. He used to ride lawn mowers. After he won, he went on to using drugs. He blew a lot of money.","In the end, the young man's lottery win brought more harm than good to his life."
25dfd390-d56a-4dca-82bd-508c6ba6116d,Not Quite A Fairytale,A die hard shopper was waiting in the long line outside.,It was miserably cold.,The shopper saw a homeless man shivering in the alleyway.,He gave up his place in the line and brought a gift back from his car.,The shopper gave the homeless man a nice warm blanket.,Write a concluding sentence for the following story: 'A die hard shopper was waiting in the long line outside. It was miserably cold. The shopper saw a homeless man shivering in the alleyway. He gave up his place in the line and brought a gift back from his car.,"In that moment, the shopper's act of kindness warmed not only the homeless man's heart, but his own as well."
0a9e9018-c1dc-485d-adbe-c1e18f5e022f,Board game night,Jeff invited his friends over to play board games on Saturday night.,They arrived at his house early that evening.,The six of them sat around a big table.,They took turns deciding which game to play.,They spent six hours playing different board games.,Write a concluding sentence for the following story: 'Jeff invited his friends over to play board games on Saturday night. They arrived at his house early that evening. The six of them sat around a big table. They took turns deciding which game to play.,"After hours of laughter and friendly competition, Jeff's friends left feeling grateful for such a fun and memorable evening."
dc5f5981-b1c5-47da-87f6-0dfba31c99d3,Screen Porch,Chuck reclined on the back porch as he sipped his morning coffee.,Today he would finally screen in this back porch.,He gathered his tools and material supplies.,He labored all day to finish the job.,That night he snuggled with his wife on the bug free porch.,Write a concluding sentence for the following story: 'Chuck reclined on the back porch as he sipped his morning coffee. Today he would finally screen in this back porch. He gathered his tools and material supplies. He labored all day to finish the job.,"As the sun began to set, Chuck surveyed his completed screened-in porch with a satisfying smile, knowing that his hard work had paid off."
a2621836-f242-40dc-8460-a1ab86ba59c6,The Beach,Jessica decided she wanted to go to the beach.,She invited all her friends to go along.,"They had a great time, but covered in a lot of sticky sand.",They searched for a shower for what felt like ages.,Finally they found one and decided it was the best trip ever.,"Write a concluding sentence for the following story: 'Jessica decided she wanted to go to the beach. She invited all her friends to go along. They had a great time, but covered in a lot of sticky sand. They searched for a shower for what felt like ages.","After rinsing off the sand, Jessica and her friends laughed about their beach adventure and began planning their next outing."
3097473f-8b80-4521-b8aa-d13f6f4049f3,Pet,Dan wanted a pet for Christmas.,He told his dad.,"His dad listened, but didn't say anything.","So on Christmas morning, And got a wonderful surprise.",He received a puppy with a shiny bow on it's head!,"Write a concluding sentence for the following story: 'Dan wanted a pet for Christmas. He told his dad. His dad listened, but didn't say anything. So on Christmas morning, And got a wonderful surprise.",Dan's wish for a pet came true when he woke up on Christmas morning.
58baa0f3-14ef-42a8-84a9-773fac0978ee,Hotdog contest,Kelly and her friends decided to have a hot dog contest.,The girls competed against each other.,They had to make the best tasting one.,"When it was over, Kelly won.",She won a medal.,"Write a concluding sentence for the following story: 'Kelly and her friends decided to have a hot dog contest. The girls competed against each other. They had to make the best tasting one. When it was over, Kelly won.","In the end, Kelly's skills and creativity in the kitchen made her the undeniable champion of the hot dog contest."
6aedadf7-2ed1-4883-a0c8-057c39d830fd,Youtube,Dan was watching a Youtube video.,"His mom was in the kitchen, doing dishes.","Suddenly, Dan ran into the kitchen and started crying.",He had just seen a video of a man trampled by an elephant.,His mom made Youtube off limits to Dan.,"Write a concluding sentence for the following story: 'Dan was watching a Youtube video. His mom was in the kitchen, doing dishes. Suddenly, Dan ran into the kitchen and started crying. He had just seen a video of a man trampled by an elephant.","Dan's mom rushed to comfort her son, realizing the impact of the disturbing video he had seen."
daed2b60-8579-4de5-b608-c8bdd1529692,Jeff moving,Jeff wanted to move out of his house.,He had no money to pay for a new one.,One day he bought a scratching ticket.,He won enough money for a down payment.,Jeff ended up moving to a new house.,Write a concluding sentence for the following story: 'Jeff wanted to move out of his house. He had no money to pay for a new one. One day he bought a scratching ticket. He won enough money for a down payment.,"With his newfound winnings, Jeff was finally able to make his dream of moving out a reality."
3e53cf10-5e80-41d2-b7bb-fc910480a1be,Broken ankle,I was walking to school.,"Since I wasn't looking at my feet, I stepped on a rock.",I landed on the ground in pain.,"Thankfully, a stranger rushed to pick me up.",He took me to the hospital to seek treatment.,"Write a concluding sentence for the following story: 'I was walking to school. Since I wasn't looking at my feet, I stepped on a rock. I landed on the ground in pain. Thankfully, a stranger rushed to pick me up.",I was grateful for the kindness of the stranger who helped me up after my fall on the way to school.
635470f4-c8bc-4ff9-b5db-be1875e40ac0,Absentminded,Lily drove into town for some errands.,"While she was there, she bought a large iced coffee to go.",It was delicious and refreshing and she couldn't wait to finish it.,She put it on her car roof while fishing for her keys.,She drove home and the coffee fell off and spilled.,"Write a concluding sentence for the following story: 'Lily drove into town for some errands. While she was there, she bought a large iced coffee to go. It was delicious and refreshing and she couldn't wait to finish it. She put it on her car roof while fishing for her keys.","As she drove back home, she couldn't help but smile at the small town charm of her community."
b2fb47c8-8120-4657-9d51-5b83c45cf9ef,Todd makes Hamburgers,Todd was hungry.,He did not have anything to cook at his house.,He decided he need to go buy something to cook.,On the way to the store Todd decided to make hamburgers.,Todd buys everything he needed and goes home and cooks.,Write a concluding sentence for the following story: 'Todd was hungry. He did not have anything to cook at his house. He decided he need to go buy something to cook. On the way to the store Todd decided to make hamburgers.,"After a quick trip to the store, Todd returned home with all the ingredients needed to satisfy his hunger with delicious homemade hamburgers."
7551a302-1098-4a62-a91f-ef75150fd220,The Recliner,Virgil brought home a bright blue recliner he had found online.,His wife thought it was hideous and clashed with the decor.,Virgil bought some fabric and had it reupholstered.,"His wife complained again, saying bright green still clashed.",Virgil gave up and threw the recliner away.,"Write a concluding sentence for the following story: 'Virgil brought home a bright blue recliner he had found online. His wife thought it was hideous and clashed with the decor. Virgil bought some fabric and had it reupholstered. His wife complained again, saying bright green still clashed.","In the end, Virgil realized that sometimes compromises must be made for the sake of peace in the household."
2c36af0c-1197-4b96-9cfe-d099549a655c,Swim Safely,Jenna was at the community pool with her family.,She thought she could go out to the deeper end by herself.,"Without telling anyone, she swam out farther, and lost her footing.",The lifeguard had to help her out of the water.,Jenna had learned her lesson.,"Write a concluding sentence for the following story: 'Jenna was at the community pool with her family. She thought she could go out to the deeper end by herself. Without telling anyone, she swam out farther, and lost her footing. The lifeguard had to help her out of the water.",Jenna learned a valuable lesson about the importance of always communicating with her family and respecting the rules of the pool.
4d228490-2891-4bc5-a898-4db375b8d370,True Confession,Joan entered the confessional and kneeled.,She thought she was confessing to the old parish priest.,Joan confessed she had fantasized about the young visiting priest.,Joan felt relief as she left the confessional.,Then she saw the old parish priest pull up in his car.,Write a concluding sentence for the following story: 'Joan entered the confessional and kneeled. She thought she was confessing to the old parish priest. Joan confessed she had fantasized about the young visiting priest. Joan felt relief as she left the confessional.,"In the end, Joan realized that true relief came from letting go of her secrets and finding peace within herself."
66cd7f11-639d-4325-8d4b-bcff1a363c0d,Movie Disruption,Homer decided to go watch a movie.,"But when he entered the movie theater, there was no where to sit.",He found one spot by a bunch of kids.,"And during the movie, they made lots of noise.","Homer became so annoyed, he decided to sit in the aisle.","Write a concluding sentence for the following story: 'Homer decided to go watch a movie. But when he entered the movie theater, there was no where to sit. He found one spot by a bunch of kids. And during the movie, they made lots of noise.","In the end, Homer regretted his decision to go to the movie theater and wished he had chosen a different form of entertainment."
8cdcdaad-f7e8-404f-87aa-82ae1160bed5,"Chip, Chip, and Dip",Chip loved dip.,"At one party, he put his chip into the dip and double dipped.",Skip saw Chip double dip.,Skip had to flip at seeing the double dip.,Chip then had to punch Skip on the lip.,"Write a concluding sentence for the following story: 'Chip loved dip. At one party, he put his chip into the dip and double dipped. Skip saw Chip double dip. Skip had to flip at seeing the double dip.","Despite Skip's reaction, Chip continued to enjoy his beloved dip with no regrets."
d926bd09-49e7-4bc4-bb8f-9a04b483f1db,Dance,Anna wanted to invite her crush Peter to the Sadie Hawkins dance.,But Peter was very cute and popular.,Anna feared her was far out of her league.,"She summoned her courage and asked him, expecting a rejection.","But to her joy, Peter happily agreed to be her date!","Write a concluding sentence for the following story: 'Anna wanted to invite her crush Peter to the Sadie Hawkins dance. But Peter was very cute and popular. Anna feared her was far out of her league. She summoned her courage and asked him, expecting a rejection.","To her surprise, Peter said yes and they had a wonderful time at the dance."
b9423c1e-1467-477d-b272-577afc46c69d,Shy,Gina had been being mean to the new boy in her class.,Then a bully began picking on Gina.,She now knew how the boy felt.,Gina realized she should stop being mean.,She realized she should also apologize to the new boy.,Write a concluding sentence for the following story: 'Gina had been being mean to the new boy in her class. Then a bully began picking on Gina. She now knew how the boy felt. Gina realized she should stop being mean.,"After experiencing the same hurt that she had inflicted, Gina decided to change her ways and be kinder to others."
ebcc5924-2b01-470e-b54b-3f8fef4f0e06,Burnt Toast,Jerry was making toast.,He set it to medium.,When the toast came out it was completely burnt.,He tried other settings with no better results.,Eventually Jerry bought a new toaster.,Write a concluding sentence for the following story: 'Jerry was making toast. He set it to medium. When the toast came out it was completely burnt. He tried other settings with no better results.,"In frustration, Jerry sighed and decided that maybe it was time to invest in a new toaster."
408bd109-3a1f-45b7-bcef-e431164ec8da,Fees,Last week I accidentally overdrafted my account.,A restaurant charged me too much by mistake.,Afterward I made five more purchases.,I had hundreds of dollars in overdraft fees.,My bank refused to reverse more than half.,Write a concluding sentence for the following story: 'Last week I accidentally overdrafted my account. A restaurant charged me too much by mistake. Afterward I made five more purchases. I had hundreds of dollars in overdraft fees.,"In the end, I learned to be more vigilant with my finances and closely monitor my transactions to avoid costly mistakes."
25bdac96-720e-4515-88c0-1f933829af7a,Frank,Frank was laughing so hard he started crying.,His dog fell into the trash and couldn't get out.,He took a video of it and posted it online.,After a week Frank had over 10000 views.,Frank knew this was as famous as he would ever be.,Write a concluding sentence for the following story: 'Frank was laughing so hard he started crying. His dog fell into the trash and couldn't get out. He took a video of it and posted it online. After a week Frank had over 10000 views.,"In the end, Frank's dog's mishap brought laughter and joy to thousands of people around the world."
73c8b751-137f-404f-9fb3-e96bba2e808f,Music,"Ty had been deaf all her life, but now she was hoping to hear.",Her doctor had offered her a new kind of super-powered hearing aid.,She had it implanted and then waited eagerly for her first sound.,"And she heard hundreds, voices and music and more!",She loved those sounds so much that she became a musician.,"Write a concluding sentence for the following story: 'Ty had been deaf all her life, but now she was hoping to hear. Her doctor had offered her a new kind of super-powered hearing aid. She had it implanted and then waited eagerly for her first sound. And she heard hundreds, voices and music and more!",Ty was grateful for the gift of sound and looked forward to experiencing all of the beautiful sounds the world had to offer.
f1f707bb-c462-463d-98de-0b4233e3352c,Hearing Voices,Bob walked into the ship elevator and heard a voice on the speaker.,He told his wife the voice sounded the same as his audio book.,They were surprised to hear the voice in the hallway to their cabin.,"The voice could still be in their cabin, so they called the steward.",The steward found that the voice was coming from Bob's pocket phone.,"Write a concluding sentence for the following story: 'Bob walked into the ship elevator and heard a voice on the speaker. He told his wife the voice sounded the same as his audio book. They were surprised to hear the voice in the hallway to their cabin. The voice could still be in their cabin, so they called the steward.","As the steward investigated, Bob and his wife wondered if their cruise ship was haunted by the voice from the speaker."
2d85d6ed-3d1c-47b5-baae-73a6b9d58f0a,Morning Coffee,John is sleepy.,He starts a pot of coffee.,John puts cream and sugar in his cup and thermos.,He then adds coffee to both.,"After finishing the cup, he takes the thermos to work with him.",Write a concluding sentence for the following story: 'John is sleepy. He starts a pot of coffee. John puts cream and sugar in his cup and thermos. He then adds coffee to both.,"With a steaming cup in hand and extra for later, John is ready to conquer the day ahead."
b4d3741c-e39c-4856-8d90-1271e4db4c37,Sunny Side Up,Susan was excited to plan her first egg hunt in the South.,She found it fun to hide the candy filled eggs in green grass.,The sun was high in the sky when the egg hunt started.,"Soon, kids were opening eggs and bursting into tears.",Susan saw that all the candy inside had melted in the sun.,"Write a concluding sentence for the following story: 'Susan was excited to plan her first egg hunt in the South. She found it fun to hide the candy filled eggs in green grass. The sun was high in the sky when the egg hunt started. Soon, kids were opening eggs and bursting into tears.","Despite the unexpected turn of events, Susan was grateful for the opportunity to bring joy to the kids by organizing the egg hunt."
1624876b-aef7-47f9-9b8a-7c1add7c0793,New Church,Bob met Ann and they started dating.,They got along very well.,But Bob was Lutheran and Ann was Catholic.,Ann's mom disapproved of Bob's religion.,Bob wants to marry Ann someday but is worried he can't.,Write a concluding sentence for the following story: 'Bob met Ann and they started dating. They got along very well. But Bob was Lutheran and Ann was Catholic. Ann's mom disapproved of Bob's religion.,"Despite the disapproval of Ann's mom, Bob and Ann's strong connection continued to flourish as they navigated their differences in faith."
b66ee8f9-d2aa-48ef-9a96-0031ce02dbc9,Biased In Laws,Jen's in laws frustrated her to no end.,They all went out to have lunch.,"At lunch, the in laws made it a point to ask Jen about her weight.",Jen told them that she had gained a few pounds in the last two weeks.,They still worried that Jen looked too thin and offered her some cake.,"Write a concluding sentence for the following story: 'Jen's in laws frustrated her to no end. They all went out to have lunch. At lunch, the in laws made it a point to ask Jen about her weight. Jen told them that she had gained a few pounds in the last two weeks.","Despite feeling frustrated by her in-laws, Jen remained open and honest with them about her weight gain during lunch."
ab5bf597-6654-4f42-9737-810b11f886fd,Sharp Bit,The woodworker was not satisfied with the cuts from a bit.,He took the bit from the machine and looked at it.,The bit had been worn away by a lot of use.,He took it to a sharpener and began to grind it.,After a while the old bit was as good as new.,Write a concluding sentence for the following story: 'The woodworker was not satisfied with the cuts from a bit. He took the bit from the machine and looked at it. The bit had been worn away by a lot of use. He took it to a sharpener and began to grind it.,"After sharpening the bit, the woodworker was pleased to see that it now cut through the wood with precision and ease."
32eb7159-5b63-4b96-a593-7a1e8a8d4586,Trip,I came out of my class and walked to my locker.,I pressed my foot on a broken tile and fell on the ground.,"At first, no one was willing to help me up.","However, one of the teachers around the area helped me get up.",She took me to the school's nurse.,"Write a concluding sentence for the following story: 'I came out of my class and walked to my locker. I pressed my foot on a broken tile and fell on the ground. At first, no one was willing to help me up. However, one of the teachers around the area helped me get up.",I was grateful for the teacher's kindness and felt relieved that someone was there to assist me in my time of need.
718e7cee-87e2-44e9-bfb8-bcc96a9249d6,Learning to be a Pilot,Timmy was always obsessed with airplanes.,His dream was to be a pilot.,For his 16th birthday his parents surprised him with flying lessons.,He loved every minute of it.,He was sure that's what he wanted to do after that.,Write a concluding sentence for the following story: 'Timmy was always obsessed with airplanes. His dream was to be a pilot. For his 16th birthday his parents surprised him with flying lessons. He loved every minute of it.,Timmy's dream of becoming a pilot was finally taking flight.
fe3e8967-9687-4643-9dcb-e9d301f12031,Relaxation,Last night my wife and I went to the spa.,We both got relaxing massages.,We had facials.,We soaked in warm water and stayed in the sauna.,It was very nice.,Write a concluding sentence for the following story: 'Last night my wife and I went to the spa. We both got relaxing massages. We had facials. We soaked in warm water and stayed in the sauna.,It was the perfect way to unwind and rejuvenate after a long week.
28b8045e-0e1b-4884-90b6-fdd99cdee941,Marching Band,Greg decided to join marching band.,He practiced for weeks to make sure he made it past auditions.,He even got his own instrument.,The day of tryouts came and all his work was for nothing.,"It wasn't that he didn't made it, it's that everyone got accepted.",Write a concluding sentence for the following story: 'Greg decided to join marching band. He practiced for weeks to make sure he made it past auditions. He even got his own instrument. The day of tryouts came and all his work was for nothing.,"But despite his disappointment, Greg knew that the experience of preparing for auditions and learning to play a new instrument would still be valuable in the end."
72911750-4577-4954-ba65-d297c21f6030,The Lost Ring,Lisa has a beautiful sapphire ring.,She always takes it off to wash her hands.,"One afternoon, she noticed it was missing from her finger!",Lisa searched everywhere she had been that day.,She was elated when she found it on the bathroom floor!,"Write a concluding sentence for the following story: 'Lisa has a beautiful sapphire ring. She always takes it off to wash her hands. One afternoon, she noticed it was missing from her finger! Lisa searched everywhere she had been that day.","Devastated, Lisa feared she may never find her beloved sapphire ring again."
d7dfa594-cf3c-4c98-90cd-4e44193a0194,Cold Day,It was usually hot were Kim lived.,But everyone was surprised when it was cold one day.,Kim decided to drink coffee and eat oatmeal.,So she was glad that the weather was cold.,"But the next day, it was too hot to enjoy hot food and drinks.",Write a concluding sentence for the following story: 'It was usually hot were Kim lived. But everyone was surprised when it was cold one day. Kim decided to drink coffee and eat oatmeal. So she was glad that the weather was cold.,Kim enjoyed the rare cold day with a warm cup of coffee and a comforting bowl of oatmeal.
ba85378d-65c7-4c66-92ac-9491e598afa5,New Destination,A bus driver wanted to save gas so he didn't come to a full stop.,He slowed down just enough for people to hop on the bus.,A man jumped at the doorway but missed.,The bus driver felt that if you fell you didn't deserve a ride.,He didn't stop to help the man back on the bus.,Write a concluding sentence for the following story: 'A bus driver wanted to save gas so he didn't come to a full stop. He slowed down just enough for people to hop on the bus. A man jumped at the doorway but missed. The bus driver felt that if you fell you didn't deserve a ride.,"With a final shake of his head, the bus driver continued on his route, unwavering in his belief that only those swift enough to catch the bus would be welcome aboard."
c11d7a9d-0812-4ae7-8808-95b2b8bae3c9,Mouse Problem,Gary was looking through his fridge for snacks.,"While looking at his food, he noticed everything had small bite marks.","After looking through his kitchen, he determined he had mice.","Gary called the local exterminator, who went to Gary's house quickly.","After the exterminator killed all of the rats, Gary felt peace.","Write a concluding sentence for the following story: 'Gary was looking through his fridge for snacks. While looking at his food, he noticed everything had small bite marks. After looking through his kitchen, he determined he had mice. Gary called the local exterminator, who went to Gary's house quickly.","After the exterminator set up traps and sealed off entry points, Gary was relieved to know the mice problem would soon be a thing of the past."
f202550b-36cc-4337-aed8-db4e9e4235c5,School Play,Natalie had auditioned for the lead in the school play.,She won the part and was super excited.,She rehearsed for weeks and weeks.,"On opening night, she acted her little heart out.",The play was a huge success!,"Write a concluding sentence for the following story: 'Natalie had auditioned for the lead in the school play. She won the part and was super excited. She rehearsed for weeks and weeks. On opening night, she acted her little heart out.","In the end, Natalie's hard work and dedication paid off as she delivered a stellar performance that left the audience in awe."
9610b1b6-e338-4adb-ac92-a24ad9b3fa9d,Science Class,Mr Egg was presenting a volcanic eruption to the science class.,He had a diagram of a volcano that looked like it was made of tinfoil.,"He then took out a huge thing of vinegar, and started to pour it in!",The class had no clue what was going on and looked on in astonishment.,The volcano then exploded with substance that looked like lava!,"Write a concluding sentence for the following story: 'Mr Egg was presenting a volcanic eruption to the science class. He had a diagram of a volcano that looked like it was made of tinfoil. He then took out a huge thing of vinegar, and started to pour it in! The class had no clue what was going on and looked on in astonishment.","As the vinegar reacted with the baking soda inside the volcano, a fizzy explosion of ""lava"" erupted, leaving the students in awe of Mr. Egg's unique and exciting science demonstration."
fe173514-5598-4f9c-9f99-e54be9ba8f5b,Samantha is Self-Sufficient,Samantha's dad always taught her how to be self-sufficient.,He even taught her how to change a tire on a car.,One day Samantha's tire blew while she was driving.,She was able to properly change her tire.,Samantha was very grateful to be able to get home safely.,Write a concluding sentence for the following story: 'Samantha's dad always taught her how to be self-sufficient. He even taught her how to change a tire on a car. One day Samantha's tire blew while she was driving. She was able to properly change her tire.,"Thanks to her dad's lessons, Samantha was able to handle the situation confidently and independently."
00658324-66e3-4b65-8285-7d989917f646,Secret Pig,"One day, a pig wandered onto my parents farm.","I always wanted one for a pet, so I did my best to keep it a secret.",I kept him in the small shed on the edge of the farm.,I snuck him food and water and played with him everyday.,"One day, he was gone, but I hope he found his way back home.","Write a concluding sentence for the following story: 'One day, a pig wandered onto my parents farm. I always wanted one for a pet, so I did my best to keep it a secret. I kept him in the small shed on the edge of the farm. I snuck him food and water and played with him everyday.","Despite my efforts to keep him hidden, my parents eventually found out about the pig and agreed to let me keep him as a pet on the farm."
